CSX,CSX Corp,Industrials,USA,87.42
GILD,Gilead Sciences Inc,Health Care,USA,94.44
TEAM,Atlassian Plc Class A,Information Technology,United Kingdom,98.75
MMC,Marsh & McLennan Inc,Financials,USA,89.23
DUK,Duke Energy Corp,Utilities,USA,87.23
BDX,Becton Dickinson,Health Care,USA,87.72
CI,Cigna Corp,Health Care,USA,98.58
GM,General Motors,Consumer Discretionary,USA,95.62
SHW,Sherwin Williams,Materials,USA,95.04
NSC,Norfolk Southern Corp,Industrials,USA,74.45
ICE,Intercontinental Exchange Inc,Financials,USA,100.0
F,Ford Motor Company,Consumer Discretionary,USA,88.42
SO,Southern Co,Utilities,USA,41.3
ITW,Illinois Tool Inc,Industrials,USA,63.74
EW,Edwards Lifesciences Corp,Health Care,USA,93.44
CL,Colgate-Palmolive,Consumer Staples,USA,86.79
UBER,"Uber Technologies, Inc-",Industrials,USA,100.0
REGN,Regeneron Pharmaceuticals Inc,Health Care,USA,95.33
EOG,EOG Resources Inc,Energy,USA,96.71
COF,Capital One Financial Corp,Financials,USA,94.53
D,Dominion Energy Inc,Utilities,USA,94.83
ATVI,Activision Blizzard Inc,Communication Services,USA,98.35
FCX,"Freeport-McMoRan, Inc-",Materials,USA,82.73
FISV,Fiserv Inc,Information Technology,USA,94.44
NOC,Northrop Grumman Corp,Industrials,USA,89.47
AON,Aon Plc,Financials,USA,90.91
PGR,Progressive Corp,Financials,USA,56.63
BSX,Boston Scientific Corp,Health Care,USA,99.07
ETN,"Eaton Corporation, PLC",Industrials,USA,95.35
MCO,Moodys Corp,Financials,USA,90.28
GD,General Dynamics Corp,Industrials,USA,79.57
FDX,FedEx Corporation,Industrials,USA,97.49
FIS,Fidelity National Information Services,Information Technology,USA,99.12
MRNA,"Moderna, Inc-",Health Care,USA,85.11
WM,Waste Management Inc,Industrials,USA,90.77
VRTX,Vertex Pharmaceuticals Inc,Health Care,USA,96.6
MET,Metlife Inc,Financials,USA,97.78
MAR,Marriott International Inc,Consumer Discretionary,USA,93.75
RIVN,"Rivian Automotive, Inc- Class A",Consumer Discretionary,USA,100.0
SLB,Schlumberger Nv,Energy,USA,96.93
MRVL,Marvell Technology Group Ltd,Information Technology,USA,100.0
PXD,Pioneer Natural Resource,Energy,USA,94.55
EMR,Emerson Electric,Industrials,USA,89.58
KLAC,KLA-Tencor Corporation,Information Technology,USA,93.0
HUM,Humana Inc,Health Care,USA,93.91
NEM,Newmont Corporation,Materials,USA,93.06
KDP,Keurig Dr Pepper Inc-,Consumer Staples,USA,88.24
APD,Air Products And Chemicals Inc,Materials,USA,96.36
VMW,VMWare Inc Class A,Information Technology,USA,96.43
SCCO,Southern Copper Corp,Materials,Peru,61.54
ECL,Ecolab Inc,Materials,USA,90.77
AIG,American International Group Inc,Financials,USA,96.51
FTNT,Fortinet Inc,Information Technology,USA,91.72
NXPI,NXP Semiconductors Nv,Information Technology,The Netherlands,97.14
ILMN,Illumina Inc,Health Care,USA,82.35
PANW,Palo Alto Networks Inc,Information Technology,USA,97.31
ADSK,Autodesk Inc,Information Technology,USA,92.75
XLNX,Xilinx Inc,Information Technology,USA,92.08
CNC,Centene Corp,Health Care,USA,93.79
MPC,Marathon Petroleum Corp,Energy,USA,97.64
BK,Bank Of New York Mellon Corp,Financials,USA,75.58
JCI,Johnson Controls International Plc,Industrials,USA,94.79
KHC,Kraft Heinz,Consumer Staples,USA,77.36
ROP,Roper Technologies Inc,Industrials,USA,92.59
DG,Dollar General Corp,Consumer Discretionary,USA,96.99
INFO,IHS Markit Ltd,Industrials,USA,81.36
